created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-05 23:52:45+00:00,"RT @NorbertElekes: The five times Queen Elizabeth addressed the UK, apart from her Christmas greeting:

1991 - Gulf War
1997 - Death of Pri…",abhinaw16,new delhi india,Born Free. Proud Indian.,303,1218,11580,False,"The five times Queen Elizabeth addressed the UK, apart from her Christmas greeting:

1991 - Gulf War
1997 - Death of Princess Diana
2002 - Death of Queen Mother
2012 - Diamond Jubilee
2020 - Coronavirus https://t.co/49XT8wDiFq"
2020-04-05 23:52:53+00:00,"RT @TarekFatah: #Coronavirus hits two #Toronto #Halal grocery stores. At both places, butchers slaughtering goats, fell ill and tested posi…",go4ashi,india,"Indian-hindu-bihari, philanthropist
Co-founder @OfficialBSENS ,fld by @TajinderBagga, @MODIfiedVikas, @Rajput_Ramesh, @kuljeetschahal, @vinsinners, @charupragya",1381,389,10529,False,"#Coronavirus hits two #Toronto #Halal grocery stores. At both places, butchers slaughtering goats, fell ill and tested positive for #Covid_19 virus. One store still open with staff NOT going through 14-day mandatory quarantine. Premier @Fordnation &amp; Mayor @JohnTory pls intervene https://t.co/E4n8Ynt2ra"
2020-04-05 23:52:54+00:00,"RT @Clayton_Sandell: A 4-year-old female tiger at @BronxZoo named Nadia has tested positive for COVID-19, according to the @TheWCS. https:/…",As88872172,india,only God can judge me.... other's don't waste your time..😏,7,63,275,False,"A 4-year-old female tiger at @BronxZoo named Nadia has tested positive for COVID-19, according to the @TheWCS. https://t.co/nLJwlHFNIO"
2020-04-05 23:52:55+00:00,@OzraeliAvi Hello avi!! we have started this initiative to feed stray animals during corona pandemic! please take a look and share this for our less privileged friends!https://t.co/2g1GSZYrsf,Wecareforstrays,india,"WECARE FOR STRAY is an initiative to feed stray animals during corona pandemic.
please follow back-up account - @SWecareforstray",242,1737,4414,False,
2020-04-05 23:53:03+00:00,"RT @spectatorindex: Cases of coronavirus worldwide.

5th of February: 28,000

5th of March: 98,500

Now: 1,220,000",TheSArjun,chennai india,Sarcastic Iyer😉😎,101,721,4006,False,"Cases of coronavirus worldwide.

5th of February: 28,000

5th of March: 98,500

Now: 1,220,000"
2020-04-05 23:53:12+00:00,"RT @ANI: Delhi: Students and staff of Jamia Millia Islamia University lit candles, yesterday, following PM Modi's appeal to switch off all…",SachinS03307581,india,"Hinduism is not a religion, its way of life. चमचे और Liberals दुर रहे, retweet does not mean endorsement",1796,2628,10409,False,"Delhi: Students and staff of Jamia Millia Islamia University lit candles, yesterday, following PM Modi's appeal to switch off all lights of houses at 9 PM for 9 minutes &amp; light candle, 'diya' or mobile's flashlight, to mark fight against #COVID19. https://t.co/HWQ8omoZvt"
2020-04-05 23:53:21+00:00,Fuck you guys! https://t.co/Q2fllhiXm8,amit00333,gorakhpur india,Pour Your Heart Into It. 🕊,222,372,4743,False,
2020-04-05 23:53:24+00:00,Shameless = Chinese... https://t.co/81WjaeYY4G,Kalki_108,india,"Dharmo Rakshati Rakshitaha...🙏

Politically Right of Centre... but here to expand my worldview...👍

A RETWEET IS NOT AN ENDORSEMENT.",1895,3662,165618,False,
2020-04-05 23:53:26+00:00,RT @Reuters: Ireland's PM returns to medical practice to help in coronavirus crisis https://t.co/PIocDmqK89 https://t.co/FvwNx5TFzW,saisrinivas789,bengaluru india,An @isro Scientist 🚀 | Movie buff | Pixar 😍 | Sports lover | Ambivert | Traveller | views Personal,213,561,6329,False,Ireland's PM returns to medical practice to help in coronavirus crisis https://t.co/PIocDmqK89 https://t.co/FvwNx5TFzW
2020-04-05 23:53:29+00:00,"RT @ashoswai: Only a brain-dead country can celebrate with lights and firecrackers at the time of a pandemic, while millions are jobless an…",jita_jagta_insa,india,"writer & teacher. मेरा धर्म भारतीयता है। यथार्थवादी हूँ। बौद्धिकता में रुचि है। साम्प्रदायिकता के खिलाफ हूँ। सत्य का समर्थक हूँ, follow back 💯%",896,1329,25505,False,"Only a brain-dead country can celebrate with lights and firecrackers at the time of a pandemic, while millions are jobless and hungry and in real fear of death! #India #IndiaVsCorona"
2020-04-05 23:53:30+00:00,RT @SitaramYechury: Putting off lights &amp; lighting candles cannot absolve this gross negligence. Modi government must answer why this delay…,DyfiGuru,tirunelveli india,Iam a member of CPI(M),92,139,1604,False,Putting off lights &amp; lighting candles cannot absolve this gross negligence. Modi government must answer why this delay &amp; why it allowed exports of PPE when our health workers were heroically battling #COVID19 pandemic without protective gear. https://t.co/ybvHBSeK14
2020-04-05 23:53:37+00:00,"RT @irenaakbar: Siddhartha Gupta, an employee at @SAP in Chicago, abuses Muslim COVID patients in India &amp; wants them to be shot dead. @Jenn…",Muddasir060785,india,Indian,130,638,29231,False,"Siddhartha Gupta, an employee at @SAP in Chicago, abuses Muslim COVID patients in India &amp; wants them to be shot dead. @JenniferBMorgan and @ChrstnKlein, can you please tell us what action will you take against him?
CC: @Chicago_Police https://t.co/JVjnCrciuq"
2020-04-05 23:53:38+00:00,RT @RajivMessage: This would be the first shot by a major western country against China since Covid19. If true it could trigger something b…,RaviGuptaINDIAN,new delhi india,"Indian, Nationalist, Pro Bharat, BJP in veins, district secretary @bjp4delhi",1924,522,29788,False,"This would be the first shot by a major western country against China since Covid19. If true it could trigger something big...
https://t.co/P3mBpeWWia"
2020-04-05 23:53:54+00:00,"RT @AmitShah: A ray of hope and belief can brighten the darkest times.

On PM @narendramodi ji’s clarion call, have switched off the lights…",Kamlesh46944382,bhopal india,"💯 persent follow back 🙏मेरा PM मेरा अभिमान🙏 आपिए,कांगिए दूर रहे। 🙏सनातनी   🙏  🙏 संघे शक्ति कलयुगे🙏#ISupportJantaCerfew",7984,8280,25781,False,"A ray of hope and belief can brighten the darkest times.

On PM @narendramodi ji’s clarion call, have switched off the lights at my home and lit diyas.

India stands firmly with PM @narendramodi in this fight against COVID-19. #9pm9minute https://t.co/I0bazNXaiN"
2020-04-05 23:54:01+00:00,"RT @IsraelinIndia: The team at @IsraelinIndia joins our brothers and sisters in India as we light up the darkness at #9pm9minutes

Let’s sp…",AjayPandey__,new delhi india,ॐ 🚩,29710,1598,1036896,False,"The team at @IsraelinIndia joins our brothers and sisters in India as we light up the darkness at #9pm9minutes

Let’s spread light, positivity and hope as we stop the spread of #COVID19 https://t.co/POPPT7OM6Y"
2020-04-05 23:54:05+00:00,Coronavirus | Ganjam to penalise those without masks https://t.co/t5DqnwTMsG,alifnewsin,hyderabad telangana india,For Authentic and Unbiased News !,49,0,28136,False,
2020-04-05 23:54:13+00:00,RT @TOIPune: Five of Guruwar Peth family among 16 more positive Covid-19 cases in Pune region https://t.co/W4VXH8DYqj,WadhwaAjinkya,pune india,Smart Generalist. Committed to Learning & Applying. Starting up in Education. Fascinated by Design Thinking.,73,736,342,False,Five of Guruwar Peth family among 16 more positive Covid-19 cases in Pune region https://t.co/W4VXH8DYqj
2020-04-05 23:54:13+00:00,RT @matthackerteper: THREAD (1/7): I'm a #COVID19 screener at the main entrance of a major hospital with a strict visitor restriction polic…,vidya_ss,pondicherry india,"PhD candidate.
Drug Discovery & -omics enthusiast. #WomenInSTEM 

RTs≠endorsements. Occasional #gamer 🎮 she/her. Love science. #BTSARMY",171,554,3230,False,"THREAD (1/7): I'm a #COVID19 screener at the main entrance of a major hospital with a strict visitor restriction policy. Only patients allowed in. I've learned a lot about the patients I see every day, but perhaps more about their caregivers. https://t.co/2uBplZfeTL"
2020-04-05 23:54:16+00:00,Hey @eenadulivenews @eenadunet @Eenadu_Newspapr there is no paper available in hyderbad due to lockdown. Why don't you enable eenadu patrika app in India for now??,kasojuravikiran,india,"Coding, Internet, Foodie, Movies, Cricket, Politics(Need to come out of this), Proud Indian.",71,108,2204,False,
2020-04-05 23:54:19+00:00,"RT @sanatanprabhat: Every Indian is committed to fight the #coronavirus 

We congratulate @narendramodi sir for grand success of his appeal…",GuptaSome,dhanbad india,"Housewife,  Grandmother",219,11,13825,False,"Every Indian is committed to fight the #coronavirus 

We congratulate @narendramodi sir for grand success of his appeal #9baje9mintues 

Indians should continue extending their support to the #21daysLockdown despite all odds.

- The Editorial Team

@DrPramodPSawant @shripadynaik https://t.co/LesTH7tAFx"
