created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-15 22:04:53+00:00,RT @iamsrk: Lockdown lessons... https://t.co/yYhAwseLBv,shashanks674,lucknow india,"Potterhead #Always, 
Avid reader @The Unconscious Mind,
Leftist with no fucks given...",11,107,125,False,Lockdown lessons... https://t.co/yYhAwseLBv
2020-05-15 22:05:03+00:00,"Keenly-watched COVID-19 vaccine 'won't be expensive', developer says https://t.co/3pLYOFa9Bb",tn_haokip,imphal india,"Former President,Manipur Pradesh Congress Committee.Former Minister and Speaker, Manipur Legislative https://t.co/ZHdTXLqMAf reading & traveling",1432,68,27068,True,
2020-05-15 22:05:10+00:00,"RT @priyaakulkarni2: India's health minister @drharshvardhan did a great work. However, people should have cooperated little to make lock d…",Viru0904,india,"हज़ारो शिकायते है मुझे मोदी से,
पर क्या करू...
लाखो उम्मीदे भी सिर्फ उन्ही से है,

क्योंकि पप्पू से ना शिकायत है,
ना उम्मीद है  ।।",1913,2655,122887,False,"India's health minister @drharshvardhan did a great work. However, people should have cooperated little to make lock down successful which Tabligh did not do 

States should coordinate above politics. In COVID19 India was one @narendramodi said it but they like politics https://t.co/e12nv4n07Z"
2020-05-15 22:05:12+00:00,RT @realDonaldTrump: I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and…,Lucky_Lvr,jaipur india,sportsperson,27,59,254,False,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy!
2020-05-15 22:05:18+00:00,"During lockdown: I fucking want to go out.
After lockdown: What's the need of going out?",savadia_dev,pune india,Seriously,16,75,87,False,
2020-05-15 22:05:18+00:00,"RT @USCIRF: During #COVID19 crisis, there are reports #India govt is arresting Muslim activists protesting the #CAA, including Safoora Zarg…",_shujauddin__,hyderabad india,,23,37,2899,False,"During #COVID19 crisis, there are reports #India govt is arresting Muslim activists protesting the #CAA, including Safoora Zargar who is pregnant. 

At this time, #India should be releasing prisoners of conscience, not targeting those practicing their democratic right to protest."
2020-05-15 22:05:18+00:00,RT @RoflGandhi_: Mr. @sudhirchaudhary confirmed that one of the employees of @ZeeNews tested #coronavirus positive. Will @CeoNoida take som…,BhojRaj55847345,new delhi india,"Learner|
Enterpreneur |
Traveller |
Observer |",20,139,7890,False,Mr. @sudhirchaudhary confirmed that one of the employees of @ZeeNews tested #coronavirus positive. Will @CeoNoida take some proactive steps to stop the spread in adjoining buildings? #ShutDownNoidaFilmCity
2020-05-15 22:05:18+00:00,RT @TelanganaCMO: CM Sri KCR has declared that #Coronavirus +ve cases are limited to four zones in Hyderabad city. CM added that State Govt…,babar7084,patna india,I am a good listener.,19,28,326,False,CM Sri KCR has declared that #Coronavirus +ve cases are limited to four zones in Hyderabad city. CM added that State Govt will finalise its strategy after perusing the guidelines of Govt of India beyond May 17 -  the day #Lockdown ends. Full press note at: https://t.co/bJFDV43Tkk https://t.co/InsmhM3mKw
2020-05-15 22:05:32+00:00,Watch: Bloomberg Media's CEO on running a media company in a pandemic https://t.co/L3EA59Qqi5 https://t.co/idp39S6RGr,MarketingPrism,mumbai india,"Marketing news, updates, case studies.
#Marketing #SocialMedia #SMM #Trending #News",52,93,6679,False,
2020-05-15 22:05:33+00:00,"RT @RajBaddhan: 💥 Pre-lockdown moments! 

My interview with @ChopdaHarshad on #SabrasDrive from February 2020. 

Listen back here: https://…",Tabbu98034896,india,,100,57,4336,False,"💥 Pre-lockdown moments! 

My interview with @ChopdaHarshad on #SabrasDrive from February 2020. 

Listen back here: https://t.co/5c4dfVIf0v

New series of #SabrasDrive interviews soon! https://t.co/B6SXsItwFx"
