created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-01-29 02:09:06+00:00,"RT @RakshaRamaiah: Australia - Wild fire 
China - Corona Virus
Brazil - Floods
India - BJP

What's happening in this world ?",ranjayvishwkar8,noida up india,धर्म के प्रचारक  दुर रहें,1201,2051,162994,False,"Australia - Wild fire 
China - Corona Virus
Brazil - Floods
India - BJP

What's happening in this world ?"
2020-01-29 02:09:16+00:00,"RT @BORN4WIN: Which city in India planned to first underwater metro project?
- #Kolkata

Which state launched #ShivBhojan scheme to provide…",itserkkk1008,purnea purnia patna india,A Civil Engineering Graduate 👷 🌉🚝 Civil Services aspirant 🇮🇳 संकल्प से सिद्धि तक.........🎯 Social issues are the area of interest.,64,591,3230,False,"Which city in India planned to first underwater metro project?
- #Kolkata

Which state launched #ShivBhojan scheme to provide meal at Rs.10?
- #Maharashtra

What are the types of #coronavirus?
- 2019-nCoV, SARS, MERS

Which country announced its #Mars probe in 2020 July?
- #China"
2020-01-29 02:09:17+00:00,"RT @CGTNOfficial: Confirmed cases of #coronavirus in Chinese mainland as of midnight on Tuesday, January 28, reached 5,974, surpassing the…",SiddharthPTOI,chennai india,"Journalist, Times of India Chennai bureau",1666,364,3784,False,"Confirmed cases of #coronavirus in Chinese mainland as of midnight on Tuesday, January 28, reached 5,974, surpassing the total number of 5,327 confirmed #SARS cases in 2003.

The official Chinese mainland death toll of SARS was 349, while that of coronavirus 132. https://t.co/R4rIDrVqyg"
2020-01-29 02:09:25+00:00,"RT @RakshaRamaiah: Australia - Wild fire 
China - Corona Virus
Brazil - Floods
India - BJP

What's happening in this world ?",SonuJaiSah2,birpur supaul bihar india,simple student,340,576,53754,False,"Australia - Wild fire 
China - Corona Virus
Brazil - Floods
India - BJP

What's happening in this world ?"
2020-01-29 02:09:32+00:00,"Top Stories (2/2) 
Rajini suffers scratches in wild, grins and bears it
India ramps up efforts to shift citizens from China
Comedian barred by 2 airline for heckling journo
Retailers launch e com venture to take on biggies @santwana99 
https://t.co/6kKhqlwWtJ",XpressBengaluru,bengaluru india,"Official account of The New Indian Express - Karnataka. Follow us

Facebook 
https://t.co/lPb3gJdvUh
Insta https://t.co/89ffaAwjs2",6391,88,14020,True,
2020-01-29 02:09:38+00:00,"RT @cjwerleman: Saudi Arabia, UAE, Bahrain, Egypt, and Oman support Trump’s plan to formalize Israel’s system of apartheid and land theft.…",ashfaaaque,gurgaon india,Dil se Desi....,168,150,58771,False,"Saudi Arabia, UAE, Bahrain, Egypt, and Oman support Trump’s plan to formalize Israel’s system of apartheid and land theft.

These are the same Muslim majority countries that support China’s Muslim concentration camps and India’s brutal and repressive measures in Kashmir."
2020-01-29 02:09:46+00:00,RT @hvgoenka: Here is all that you may want to know about #coronavirus. Do spread the awareness. https://t.co/stpW8ZrHAM,Bhaskarghoshal,mumbai india,Transformation of PEOPLE & PROCESSES aligned to BUSINESS OBJECTIVES |SHRM-IIM-Ahmedabad HR Professional | Proud Father of One | Politics | ⚽️ Life | Religious |,254,440,6913,False,Here is all that you may want to know about #coronavirus. Do spread the awareness. https://t.co/stpW8ZrHAM
2020-01-29 02:09:51+00:00,"RT @AFP: #BREAKING Number infected by China virus rises to nearly 6,000: official https://t.co/acIB60Wj32",latasrinivasan,india,Independent  Journalist. Senior Editor. Influencer. Films. Food. Travel. ❤️ Dogs. kicked breast cancer. DM me to contact,94114,3539,10682,False,"#BREAKING Number infected by China virus rises to nearly 6,000: official https://t.co/acIB60Wj32"
2020-01-29 02:09:51+00:00,RT @EricLiptonNYT: JUST POSTED: President Trump's meddling in investigations of a Turkish state-owned bank and a Chinese cellphone company…,pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7726,404,564248,False,JUST POSTED: President Trump's meddling in investigations of a Turkish state-owned bank and a Chinese cellphone company are drawing new scrutiny. With @arappeport  https://t.co/81RrAPF2ge
2020-01-29 02:09:56+00:00,"RT @CNN: China has a total of 5,974 confirmed cases of the Wuhan coronavirus, including 132 deaths, as of Wednesday, according to the Natio…",Jayachandra441,hyderabad india,A+ve blood group,276,726,12031,False,"China has a total of 5,974 confirmed cases of the Wuhan coronavirus, including 132 deaths, as of Wednesday, according to the National Health Commission https://t.co/BUmj2MmoFP"
2020-01-29 02:10:01+00:00,RT @IMukherjee: Again Air India for rescue.. What will happen when privatized? @narendramodi @rajnathsingh @AmitShah @Swamy39 @sambitswaraj…,warriorprince99,mumbai india,"आज़ाद देश का एक ग़ुलाम। धर्म भारतीय संविधान। बैंक कर्मचारी।
आज़ाद खयाल के बेबाक़ प्रिंस द वेरियर प्रिंस।
सवाल सुनने वाले जवाब देने वाले को सलाम।",87,107,18425,False,Again Air India for rescue.. What will happen when privatized? @narendramodi @rajnathsingh @AmitShah @Swamy39 @sambitswaraj  https://t.co/D0kSWgus79
2020-01-29 02:10:04+00:00,RT @NHKWORLD_News: Coronavirus death toll in China rises to 132 https://t.co/1LUaHJ0ufP,Gravity_v20,visakhapatnam india,प्रान्तीय आर्थिक  उत्तेजक संस्था  Regional Economic Planning; tweets for #TheTechState @supercomp_india #IGES #NeoMacro Tweets by GKB,634,224,78350,False,Coronavirus death toll in China rises to 132 https://t.co/1LUaHJ0ufP
2020-01-29 02:10:14+00:00,RT @TIME: US Secretary of Health Alex Azar holds press conference on public health response to Wuhan coronavirus https://t.co/KuDIClVh9A,IManokarthi,tamil nadu india,Because of Sadhguru....,253,1815,22339,False,US Secretary of Health Alex Azar holds press conference on public health response to Wuhan coronavirus https://t.co/KuDIClVh9A
2020-01-29 02:10:19+00:00,RT @ABC: The White House is considering suspending flights between the U.S. and China because of coronavirus outbreak. https://t.co/FpPurcq…,paramountdesire,lucknow india,,1112,369,14792,False,The White House is considering suspending flights between the U.S. and China because of coronavirus outbreak. https://t.co/FpPurcqnv5
2020-01-29 02:10:23+00:00,"China's National Health Commission confirms of 5,997 cases of novel #coronavirus in the Chinese mainland and 57 abroad in 14 countries. Death toll 132. Among the confirmed cases, 1,239 patients in critical condition
#coronoavirus #coronarvirues #China #CoronaOutbreak https://t.co/liOGmPS6hu",thefirstindia,jaipur india,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia,3843,188,31135,False,
2020-01-29 02:10:25+00:00,RT @hvgoenka: Here is all that you may want to know about #coronavirus. Do spread the awareness. https://t.co/stpW8ZrHAM,YASWIAGARWAL1,mumbai india,,101,156,477,False,Here is all that you may want to know about #coronavirus. Do spread the awareness. https://t.co/stpW8ZrHAM
2020-01-29 02:10:28+00:00,"RT @RramachandranR: Nothing to do with meat industry , its a Biological accident",HIMANSH1920evil,india,"modi failed India and Hindus.
Hindu rashtra.
BJP is anti- Hindu
Aarkashan hataaooo 
Relocate the Pandits......
Stop conversion ....
Ban cow slaughter.....",156,204,33409,False,"Nothing to do with meat industry , its a Biological accident https://t.co/MldwdQzfwo"
2020-01-29 02:10:31+00:00,RT @ABC: The White House is considering suspending flights between the U.S. and China because of coronavirus outbreak. https://t.co/FpPurcq…,dilrazmdil,jaipur india,positive think for our nation,203,305,1021,False,The White House is considering suspending flights between the U.S. and China because of coronavirus outbreak. https://t.co/FpPurcqnv5
2020-01-29 02:10:33+00:00,"RT @rameshlaus: The deadly #Coronavirus originated from an animal/poultry market in #Wuhan City in #China 

It transmitted from animals to…",AbbasLesnar2,bengaluru south india,keep learning the more you learn the more you know🤘🤘🤘,34,89,826,False,"The deadly #Coronavirus originated from an animal/poultry market in #Wuhan City in #China 

It transmitted from animals to humans there..

Reports are saying many Chinese are turning into Vegetarians now.."
2020-01-29 02:10:36+00:00,"RT @bsindia: Screening of passengers would be expanded to 20 airports along with adding new laboratories to test the virus, the government…",pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7727,404,564248,False,"Screening of passengers would be expanded to 20 airports along with adding new laboratories to test the virus, the government said.

#coronavirus

https://t.co/RnkHunaadA"
2020-01-29 02:10:36+00:00,@JLitheunikitty1 In the process you are exposing so many Medical staff to the virus.these are just mobilised in Wuhan later when this virus outreach will be more same staff will be in Fatigue.panic does create awareness too even for small cold and cough people might be running for tests now,Nidhipa,raipur india,"Accept the way I am or else go to Hell... Loves to Cook and Bake....Interested in Movies, cricket and Politics...Ex Techie... Currently Running Own School.",751,119,23215,False,
2020-01-29 02:10:40+00:00,"RT @EYManufacturing: How can domestic and global #SupplyChain enterprises create value in 2020? View our Global Chemical Industry Leader, F…",Tyagidaksh,faridabad india,"Advanced Manufacturing Analyst @ EY..social and political thinker, movie buff..sports enthusiast #moksha seeker #life #family #friends. Views are my own!",32,69,107,False,"How can domestic and global #SupplyChain enterprises create value in 2020? View our Global Chemical Industry Leader, Frank Jenner's recent presentation at the Global #Chemical Supply Chain (China) Summit to find out more. https://t.co/i2lG19gAZB"
2020-01-29 02:10:40+00:00,RT @RT_com: Taxi driver kicks out #Wuhan virus passenger amid panic over #coronavirus in China https://t.co/CA9bfM64fu,humblekindlife,india,Retweet is not = to endorsement.,151,1169,24489,False,Taxi driver kicks out #Wuhan virus passenger amid panic over #coronavirus in China https://t.co/CA9bfM64fu
2020-01-29 02:10:55+00:00,"RT @AbhijitChavda: China's biological weapons program is using deadly viruses such #Ebola and the #coronavirus to develop #bioweapons.

Mor…",prahladkumar33,india,"India First.
Advaita Vedanta.
Retweets are not endorsements",475,288,18927,False,"China's biological weapons program is using deadly viruses such #Ebola and the #coronavirus to develop #bioweapons.

More like a bioterrorism program. So much for China's ""peaceful rise"".

https://t.co/qZq4MWpb4w"
2020-01-29 02:10:58+00:00,"RT @ForbesAsia: An increasing number of major companies are responding to the situation in China by suspending some business operations, re…",Chutintorn_Sam,new delhi india,"Ambassador of Thailand to India, charged with helping ASEAN, India & Thailand find each other's fullest potential. Tweets are personal.",4119,467,32439,False,"An increasing number of major companies are responding to the situation in China by suspending some business operations, restricting travel and more. https://t.co/Paz9oARu20"
