created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-08 00:07:12+00:00,RT @AsYouNotWish: Corona virus is a Sanghi. It wants to turn the whole world into a Hindu Rashtra. Bloody communal virus.,gaganbrar5,punjab india,,532,93,142641,False,Corona virus is a Sanghi. It wants to turn the whole world into a Hindu Rashtra. Bloody communal virus. https://t.co/96NCz7xBws
2020-03-08 00:07:50+00:00,"#InternationalWomensDay2020 

Your mother, The Emperess of India and China. My cuddles. https://t.co/A4Ri0GnILY",EmperorSVC,the empire of india and china,"His Royal Majesty, CEO & Multi-Talented Artist. Solve et Coagula. Fortuna Virtutem Dominum. #MeToo",15458,835,26750,False,
2020-03-08 00:10:09+00:00,"Canada declares coronavirus outbreak at long-term care home
https://t.co/iHIfbk9k7t",HindustanTimes,new delhi india,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,19067,12,168125,True,
2020-03-08 00:10:33+00:00,Coronavirus: Seattle's First Responders https://t.co/3tIasDwQf4 https://t.co/QTaJgkpDaE,VPSARTHAK,bengaluru india,Providing all kind of Medical Services and medical devices at your door step,9,14,855,False,
2020-03-08 00:10:48+00:00,@KingJames Start Your own league our leader!!! https://t.co/WoBORuy9JN,ninobreeezy,mahindra world city india,https://t.co/xBo2kAWyjl… All Round Entertainer and strategist,2465,1867,62495,False,
2020-03-08 00:10:53+00:00,RT @eugenegu: Iran needs humanitarian aid given the huge coronavirus outbreak occurring there. The people of Iran are not our enemy. We mus…,twihtolic,bengaluru india,"PM Narendra Modi supporter , Proud Hindu",436,1021,26291,False,Iran needs humanitarian aid given the huge coronavirus outbreak occurring there. The people of Iran are not our enemy. We must lift the crippling sanctions devastating Iran’s healthcare system and supply aid immediately. Some things matter more than politics—like a pandemic.
2020-03-08 00:11:02+00:00,Coronavirus fatalities World Health Organization figures disputed - Al Jazeera English https://t.co/jFjysqw7aS,757LiveIN,india,"Top News Stories of the day, Latest News Headlines, News Specials, @757live  https://t.co/Tcyg4E61RP",489,85,141974,False,
2020-03-08 00:11:17+00:00,"RT @Akshays_Storm: CORONA Virus Has Reached India 😷
 Chinese Log @aamir_khan India Chhodo 😷 https://t.co/uXm1PNvvUL",iamvijay79,mumbai india,"𝔥𝔢𝔯𝔢 𝔬𝔫𝔩𝔶 𝔣𝔬𝔯 @iamsrk ❤️
Fan Account...Back up I'd @iamvijay80...

Instagram, Pinterest / iamvijay79",3626,2332,44942,False,"CORONA Virus Has Reached India 😷
 Chinese Log @aamir_khan India Chhodo 😷 https://t.co/uXm1PNvvUL"
2020-03-08 00:11:20+00:00,"RT @AartiTikoo: @Abihabib By your logic, US shouldn’t be a partner with most of the Islamic states which are authoritarian &amp; oppressive. In…",palakkadan,india,"Just a common man, interested in interesting things. Follow Narendra Modiji.

If one has a firm opinion,  just express it too.",1328,2542,16846,False,"@Abihabib By your logic, US shouldn’t be a partner with most of the Islamic states which are authoritarian &amp; oppressive. India is a democracy no matter how much you try to paint it with the same brush as China.Your lopsided &amp; naive understanding of international relations doesn’t alter it."
2020-03-08 00:11:25+00:00,"RT @LicypriyaK: In India, some media virus 🦠 are more dangerous than #coronovirusindia. 

#coronavirus https://t.co/hRhRpM6Vi7",shivagshanker,hyderabad india,am what I'm,5,72,77,False,"In India, some media virus 🦠 are more dangerous than #coronovirusindia. 

#coronavirus https://t.co/hRhRpM6Vi7"
