created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-17 18:08:50+00:00,Most excellent news surrounding #coronavirus. https://t.co/SnX4Vf2DU9,IMSahilBhalla,new delhi india,"Freelance journo / Ex @CatchNews & @Scroll_in / Bylines: @YourStoryCo, @htTweets, GQ, @The_Hindu / Sarah Lawrence College alum / Film festival attendee / Gunner",2945,1968,103379,False,
2020-02-17 18:08:51+00:00,"RT @GordonGChang: #WHO experts are now in #China to investigate the #COVID19 epidemic, but they're not going to #Wuhan, the source of the o…",bigil_hitman,chennai india,"Fan of ∆ Thalapathy👑| Hitman🎩| wolverine❌ | Joker🃏| Rko💪| U1🎧|
WAITING for Master🔥 

              ____&#*_____World's biggest scam #God 🙏",715,497,83490,False,"#WHO experts are now in #China to investigate the #COVID19 epidemic, but they're not going to #Wuhan, the source of the outbreak: https://t.co/5i85oKkZBD. So what the devil are they doing in that country? #coronavirus"
2020-02-17 18:08:53+00:00,RT @CDCgov: Don’t miss out! CDC is accepting applications for the 2020 #EvaluationFellowship Program class. Sign up for our February 19 inf…,dr_sandy007,india,follow at your own RISK https://t.co/DP5uYT2ICP,2232,1420,94081,False,Don’t miss out! CDC is accepting applications for the 2020 #EvaluationFellowship Program class. Sign up for our February 19 informational webinar before registration closes: https://t.co/ENWt7q1pIv https://t.co/rgaPPBXtCZ
2020-02-17 18:08:56+00:00,"RT @ganeshmantra: India is heading the same way as China.

China is a shithole. India is becoming one.

Screw your islamophobia and your bi…",thali_batti,new delhi india,Not a THULLA.,219,1082,37890,False,"India is heading the same way as China.

China is a shithole. India is becoming one.

Screw your islamophobia and your bigotry. https://t.co/7d3CSmj3cT"
2020-02-17 18:08:57+00:00,@ShashiTharoor @SCMPNews Congress virus &gt; Corona virus. We survived Congress. Corona kis khet ki mooli hai?,desirancher,india,"धर्मो रक्षति रक्षितः
ex NCC cadet
boycott halal to save our future.",262,313,2737,False,
2020-02-17 18:09:04+00:00,RT @DrTedros: #HealthWorkers are bearing the biggest burden in the #COVID19 outbreak. This touching video shows the efforts and love nurses…,VishalC80708556,jodhpur india,Learner,14,201,191,False,#HealthWorkers are bearing the biggest burden in the #COVID19 outbreak. This touching video shows the efforts and love nurses are investing in their jobs and patients to save lives. This year more than ever we must show our solidarity and #SupportNursesAndMidwives! https://t.co/lbf9tdarPd
2020-02-17 18:09:07+00:00,@RoshanKrRaii @RenukaJain6 Empty flights which are going to wuhan to bring our citizens can drop her,imrankhatri90,mumbai india,"Businessman | 
RT & Follows ≠ endorsements",248,2421,4941,False,
2020-02-17 18:09:24+00:00,"JAMES BOND WON'T PREMIERE IN CHINA 

#JamesBond #007 #NoTimeToDie #JamesBond007
https://t.co/SFsj0SaKJN",_akshatmahajan_,india,"Movie Expert, Blogger, News Provider, Editor & Story Writer. My new book PRO GAME ON: Part-1 now available on NotionPress, Amazon & Flipkart.",1526,20,183968,False,
2020-02-17 18:09:40+00:00,RT @iAsura_: Paper bills are one of the worst carriers of germs. People (including the so called educated ones) till today use their spit t…,A31X64Vijay,india bharat,"Dreaming for a Strong, Powerful & Glorious 'Great-INDIA' (Akhand Bharat) ... in a Beautiful WORLD !!! .. RTs are Not Endorsements !",4101,4974,379003,False,Paper bills are one of the worst carriers of germs. People (including the so called educated ones) till today use their spit to count bills!!! https://t.co/xBj6GtPLAI
2020-02-17 18:09:59+00:00,"RT @ganeshmantra: India is heading the same way as China.

China is a shithole. India is becoming one.

Screw your islamophobia and your bi…",shams_z,new delhi india,Not very polished. Moderately fiery. Resource-crunched cook. 'average'. part-time psycho. wannabe model. Movies,2671,3392,187077,False,"India is heading the same way as China.

China is a shithole. India is becoming one.

Screw your islamophobia and your bigotry. https://t.co/7d3CSmj3cT"
2020-02-17 18:10:03+00:00,"RT @davidfrawleyved: Chinese Communists remain staunch nationalists and honor Chinese culture and traditional Chinese medicine, visiting nu…",karthick_sk65,bengaluru india,🙂,271,40,115925,False,"Chinese Communists remain staunch nationalists and honor Chinese culture and traditional Chinese medicine, visiting numerous local temples. Only India's Communists think anti-nationalism is a virtue and refuse to honor their own dharmic civilization that inspired China."
2020-02-17 18:10:04+00:00,RT @globaltimesnews: Chinese fans of #BTS member #jhope donate funds originally meant to celebrate the star’s birthday to charity amid #cor…,daemonAD_twt,india,Web developer丨Visual and 3D Artist丨Graphic Designer丨BTS ARMY丨He/Him (cis),56,43,7130,False,Chinese fans of #BTS member #jhope donate funds originally meant to celebrate the star’s birthday to charity amid #coronavirus epidemic #JHOPEDay @BTS_twt https://t.co/fAwWi7jOok https://t.co/FX2fJIMHpm
2020-02-17 18:10:27+00:00,"RT @davidfrawleyved: Chinese Communists remain staunch nationalists and honor Chinese culture and traditional Chinese medicine, visiting nu…",drishti16966,mumbai india,"BE(Electronics), LLB, LLM. 
Teach LLB & LLM students.
Entrepreneur & Businessman.
Modi & Rashtra Bhakt.
Retired Pace Bowler & Opening Batsman",538,981,95101,False,"Chinese Communists remain staunch nationalists and honor Chinese culture and traditional Chinese medicine, visiting numerous local temples. Only India's Communists think anti-nationalism is a virtue and refuse to honor their own dharmic civilization that inspired China."
2020-02-17 18:10:39+00:00,"OYO net loss widens 3X in 2018-19 on china expansion
 https://t.co/VdVHNjp22X",fpjindia,india,The voice of #Mumbai. The Free Press Journal is one of the oldest English daily newspapers from Mumbai with a heritage of more than 90 years.,11640,512,185547,True,
2020-02-17 18:10:43+00:00,#Coronavirus what about the animals in when. Is there a chance to spread via animals. How many animals died ?,infoprez,chennai india,"I am working on IT Infrastructure projects. I love travelling, Music , Movies.. I take life as it goes...",123,160,564,False,
2020-02-17 18:10:44+00:00,RT @globaltimesnews: Chinese fans of #BTS member #jhope donate funds originally meant to celebrate the star’s birthday to charity amid #cor…,innermeowngi,kolkata india,The genre is BTS                                                            Namgi Stan||OT7 (Fan account),1929,1508,176757,False,Chinese fans of #BTS member #jhope donate funds originally meant to celebrate the star’s birthday to charity amid #coronavirus epidemic #JHOPEDay @BTS_twt https://t.co/fAwWi7jOok https://t.co/FX2fJIMHpm
2020-02-17 18:10:50+00:00,RT @iAsura_: Paper bills are one of the worst carriers of germs. People (including the so called educated ones) till today use their spit t…,vikramuk,pune india,काले वर्षतु पर्जन्यः पृथिवी सस्यशालिनी | देशोऽयं क्षोभरहितः सज्जनाः सन्तु निर्भयाः|  #WordPress #IoT #SmartAgri #Solar #AI #GeoPolitics,1400,1334,58078,False,Paper bills are one of the worst carriers of germs. People (including the so called educated ones) till today use their spit to count bills!!! https://t.co/xBj6GtPLAI
2020-02-17 18:10:57+00:00,"RT @PDChina: #LATEST on #COVID19 outbreak in China, as of Feb 16:
- 70,548 confirmed cases in Chinese mainland
- 1,770 deaths
- 10,844 disc…",Rajeshsonusingh,gandhinagar india,Wanderlust#Indian foreign policy Scholar# Explorer,1360,4960,22103,False,"#LATEST on #COVID19 outbreak in China, as of Feb 16:
- 70,548 confirmed cases in Chinese mainland
- 1,770 deaths
- 10,844 discharged from hospital https://t.co/OY2YPE7its"
2020-02-17 18:11:00+00:00,RT @Nicolebk13: WHY ARE YALL FLYING THEM HERE,DVengada,bengaluru india,I'm a miracle! ♏,6,83,139,False,WHY ARE YALL FLYING THEM HERE https://t.co/WBz5g8HI5B
2020-02-17 18:11:12+00:00,"RT @W7VOA: The sharp rise in Hubei #coronavirus cases is supposedly due to the use of new methodology. That aside,  it reveals a much more…",Rajeshsonusingh,gandhinagar india,Wanderlust#Indian foreign policy Scholar# Explorer,1360,4960,22103,False,"The sharp rise in Hubei #coronavirus cases is supposedly due to the use of new methodology. That aside,  it reveals a much more serious situation there than previously revealed."
2020-02-17 18:11:19+00:00,"RT @MeghUpdates: Situation is serious in #Karachi... and Govt is not disclosing what is the nature and purpose of ""Poisonous Gas""

First #C…",subasingh73,delhi ambala india,"॥ॐ सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः,
सर्वे भद्राणि पश्यन्तु मा कश्चिद् दुःख भाग्भवेत।",719,1131,50473,False,"Situation is serious in #Karachi... and Govt is not disclosing what is the nature and purpose of ""Poisonous Gas""

First #China #Chinese were seen fighting a presumably Man made Crisis and now its ally #Pakistan .

#coronavavirus #GasLeak https://t.co/jrC3nkaUze"
