created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-09 00:06:35+00:00,"BREAKING: Saudi Arabia suspends travel to and from Egypt, Bahrain, Kuwait, Syria, UAE, Iraq, Lebanon, South Korea, and Italy due to coronavirus.",INDERJEETSEHWAG,bahadurgarh haryana india,"#Modern थोड़ा हूं , 
#देशी ज़्यादा हूं ,
     पर फण्डी हरगिज नहीं।
#आत्म सम्मान रखता हूं 
  सिर माथे पे ,
           पर 
#घमण्डी हरगिज नहीं।
🙏🙏 🇮🇳🇮🇳 🙏🙏",190,1707,10512,False,
2020-03-09 00:06:44+00:00,"RT @db_is_db: What is wrong with ppl. The family of 3 from Kerala for instance. Travelled back from Venice, hid the information from airpor…",finepatriot1,navi mumbai india,Sports Government and Politics,209,627,34661,False,"What is wrong with ppl. The family of 3 from Kerala for instance. Travelled back from Venice, hid the information from airport authorities, took car back home, infected relatives. Tried to resist quarantine. Educated louts. 

https://t.co/4FNywnypoe"
2020-03-09 00:07:11+00:00,"BREAKING: Senator Ted Cruz says he came into contact with someone who tested positive for coronavirus.

The senator is in self-quarantine.",INDERJEETSEHWAG,bahadurgarh haryana india,"#Modern थोड़ा हूं , 
#देशी ज़्यादा हूं ,
     पर फण्डी हरगिज नहीं।
#आत्म सम्मान रखता हूं 
  सिर माथे पे ,
           पर 
#घमण्डी हरगिज नहीं।
🙏🙏 🇮🇳🇮🇳 🙏🙏",190,1707,10512,False,
2020-03-09 00:07:31+00:00,"RT @WHO: Key considerations to prevent or reduce #COVID19 risks BEFORE a meeting or event:
👥 Pre-order sufficient supplies &amp; materials, inc…",rjkhosla,orissa india,"#Entrepreneur at 23/
Struggling🙏/
On a #Mission to #Develop Rural #INDIA/
Studies 
#ITProfessional @Google
#SEO @Ucirvine
#SMM @Northwestern
#DM @illinois_Alma",1251,4998,871,False,"Key considerations to prevent or reduce #COVID19 risks BEFORE a meeting or event:
👥 Pre-order sufficient supplies &amp; materials, incl. tissues &amp; hand sanitizer for all participants. Have surgical masks available to offer anyone who develops respiratory symptoms

#coronavirus https://t.co/Enj0TINQAz"
2020-03-09 00:07:38+00:00,"RT @WHO: Organizers of meetings &amp; events need to think about the potential risk from #COVID19 because:
2⃣ While COVID-19 is a mild disease…",rjkhosla,orissa india,"#Entrepreneur at 23/
Struggling🙏/
On a #Mission to #Develop Rural #INDIA/
Studies 
#ITProfessional @Google
#SEO @Ucirvine
#SMM @Northwestern
#DM @illinois_Alma",1251,4998,871,False,"Organizers of meetings &amp; events need to think about the potential risk from #COVID19 because:
2⃣ While COVID-19 is a mild disease for most people, it can make some very ill.
Around 1 in every 5 people who catch COVID-19 needs hospital treatment 

#coronavirus https://t.co/Cog9RMGezW"
2020-03-09 00:07:52+00:00,"https://t.co/9dDmmTXkcg

At #China's Hudong Shipyard, #PLAN's Type 075 No. 2 ship island has been installed, launch is one step close. first Type 075 was launched on September 25, 2019 &amp; is in outfitting stage. Amphibious assault ship 250m long, 30m wide, displacement 40,000 tons https://t.co/7vLQAeHNMx",anshu217,india,"Authored two books on China; Interests- China, West Asia, Pakistan; National security, Space, Deterrence, Military Strategy, Technology- Quantum, AI, Drone, ISR",315,120,2850,False,
2020-03-09 00:08:01+00:00,"RT @htTweets: As #coronavirus cases rise, Arunachal Pradesh bans entry of foreigners

https://t.co/APRiIU892C https://t.co/LI14yiugjn",RitasArtCafe,india,"Hi, Welcome to my Art Cafe. Grab a cup of coffee (or tea, or whatever) and look at my artworks. If you want to buy any, please tweet to me.",7033,3658,99517,False,"As #coronavirus cases rise, Arunachal Pradesh bans entry of foreigners

https://t.co/APRiIU892C https://t.co/LI14yiugjn"
2020-03-09 00:08:19+00:00,"RT @Joyce_Karam: #CoronaVirus by country’s cases

• China &gt; 80,000
• Italy 7375
• South Korea 7313
• Iran 6,566
• France 1,126
• Germany 93…",vaibhav_067,raipur india,,24,43,8,False,"#CoronaVirus by country’s cases

• China &gt; 80,000
• Italy 7375
• South Korea 7313
• Iran 6,566
• France 1,126
• Germany 939
• Spain 644
• US 484
• Switzerland 337
• UK 273
• Netherlands 265
• Sweden 203
• Belgium 200
• Canada 63
https://t.co/h2g25wRcya"
2020-03-09 00:08:31+00:00,"RT @cinemapayyan: Heavy pressure on #kuttikadhai 

@actorvijay should be thinking of something universal this time. 

Corona, ne enakku ven…",iamabisheik,chennai india,Moviebufff,7,254,1785,False,"Heavy pressure on #kuttikadhai 

@actorvijay should be thinking of something universal this time. 

Corona, ne enakku venaa types.

#MasterAudioLaunch"
2020-03-09 00:08:41+00:00,More than 7500 #Corona  infected people and about 400 deaths due to #COVID19 in Italy. Second largest country after China reported as yet.,Amaresh03335514,varanasi india,"MSc,PhD Zoology(BHU), Professor,Author",6147,4319,28039,False,
