created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-04-25 22:11:51+00:00,"Things, like lockdown, always give you an opportunity to connect with closer ones &amp; office mates some of them after years. ""Waqt ka pata nahi bas aaj bhi  aap ke eshash  se wahi muskurat aa jati hai"".😃 #Corona #besafe(old pics) https://t.co/1tgA1z1dja",Guptaaditya224,ahmedabad india,twitter..:D,3212,635,1407,False,
2020-04-25 22:11:54+00:00,RT @ANI: Odisha: People flout social distancing norms while making purchases at a local market in Bapuji Nagar in Bhubaneshwar today.  #COV…,KaifiBadshah,new delhi india,Am I neutral person. A youth of india. and not yet decided what to do for life. 😊,13,157,470,False,Odisha: People flout social distancing norms while making purchases at a local market in Bapuji Nagar in Bhubaneshwar today.  #COVID19 https://t.co/S1annIFMIr
2020-04-25 22:12:18+00:00,"That's it! #StayHome ,#StayHomeStaySafe https://t.co/3thiIJS4Rc",Realsouvic7,kolkata india,I'll be back again (in football) !😁,54,2046,827,False,
2020-04-25 22:12:20+00:00,RT @seemi_pasha: Delhi Govt requests #TablighiJamaat members who have recovered from #COVID to donate plasma for other patients. TJ members…,sdubey89,bhopal india,"Cool, foodie, straight forward. tweets are personal. Retweets not endorsement.
Jai hind..",45,225,1827,False,Delhi Govt requests #TablighiJamaat members who have recovered from #COVID to donate plasma for other patients. TJ members readily agree! They’re literally giving their blood to cure others but no TV news channel will talk about this #Covid_19india #PlasmaTherapy #ramadankareem
2020-04-25 22:12:32+00:00,"RT @UN: Diversity is a strength, not a threat. 

Amid the #COVID19 pandemic, each one of us can show solidarity and #FightRacism and intole…",maheshrawal68,sirohi rajesthan india,मेरा भारत सर्वश्रेष्ठ...🇮🇳,100,829,482,False,"Diversity is a strength, not a threat. 

Amid the #COVID19 pandemic, each one of us can show solidarity and #FightRacism and intolerance. https://t.co/QpwavXBwfu https://t.co/l40wrWtmQA"
2020-04-25 22:12:32+00:00,"RT @ndtv: Uttarakhand's Chardham temples to reopen soon, but no pilgrims allowed this year https://t.co/EZYH6ROxTp https://t.co/3w83KSUmIO",ImAkashKanwar23,ahmadabad city india,,42,497,3603,False,"Uttarakhand's Chardham temples to reopen soon, but no pilgrims allowed this year https://t.co/EZYH6ROxTp https://t.co/3w83KSUmIO"
2020-04-25 22:12:34+00:00,"@AmanKayamHai_ET @RomeshNadir Add to it no feeling for the joblessness, the plight caused by Corona to such a large number of people.",ranjank63,lucknow india,In service. In service to all with allegiance to none. Has respect for all religions. सर्वधर्म समभाव का प्रचारक.,5773,214,28864,False,
2020-04-25 22:12:40+00:00,"RT @JDNewsMedia1: 📰 https://t.co/aGtRfFnwpZ

PM @narendramodi  ji interacts with a young sarpanch from #Maharashtra, Priyanka Medankar #Med…",JDNewsMedia1,india,"Get Breaking News and Latest Updates
Follow JDNewsMedia for live coverage.
➧ https://t.co/yTfHySeBeQ
➧ https://t.co/g1ulM18Qww
➧ https://t.co/j0DxUbBIBH",28,133,183,False,"📰 https://t.co/aGtRfFnwpZ

PM @narendramodi  ji interacts with a young sarpanch from #Maharashtra, Priyanka Medankar #Medankarwadi. Watch on how she's working to tackle #Corona &amp; how Hon PM appreciates &amp; guides her on FPOs @BJP4Maharashtra @Dev_Fadnavis #BJP #IndiaFightsCorona"
2020-04-25 22:12:56+00:00,"@AdminGhazipur Respected sir We the Muslims are fully aware from this pandemic conditions and we support the lockdown. We are not praying namaz in masjids, So when Masjids are fully empty, then what's the problem with Azaan?

#DMGhazipur_liftBan_onAzaan",AfzalAlam1992,lucknow india,,106,49,1194,False,
2020-04-25 22:13:02+00:00,RT @BeingSalmanKhan: Ramadan Mubarak to all... Stay home stay safe!,ZiyaNasarAli1,forbesganj india,"Bollywood and Celebrities


#follow_me_Nd  💯 % #follow_back",65,461,320,False,Ramadan Mubarak to all... Stay home stay safe!
