created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-10 16:00:00+00:00,"RT @free_thinker: Kindly also stop misleading your own citizens through misinfo. (Published by @PIB_India, and authored by @moayush)

https…",Asadzsk09,mumbai india,Reaching people for a better world!,62,249,1596,False,"Kindly also stop misleading your own citizens through misinfo. (Published by @PIB_India, and authored by @moayush)

https://t.co/C7Z1P0eVUH

https://t.co/ofdD18hXRi

It is shocking that the Govt would mislead it's own citizens during a global health emergency.

#AltNewsSciCheck https://t.co/KNsCbq6g5z"
2020-02-10 16:00:03+00:00,@iambhutia That's how a bureaucracy works. In China they only have bureaucracy.. nothing else.. it's like a giant corporation..,lolsalaam,hyderabad india,"Hindu Nationalist. Telangana/Hyderabad, RTs == sharing..",983,841,89259,False,
2020-02-10 16:00:03+00:00,RT @China_Amb_India: Appreciate this message. https://t.co/OfVr1lOiwV,Priyul3,pali india,Nationalist. indebted to bharat forever. Self Realisation and Moksha are the ultimate goals of Human life. Strive to achieve them.,147,647,29486,False,Appreciate this message. https://t.co/OfVr1lOiwV
2020-02-10 16:00:12+00:00,@XohebK @GulRose_views @RanaAyyub That's Corona virus 😂😂😂,ahmasmii_yodha,maharashtra india,"अहिंसा परमो धर्मः धर्म हिंसा तथैव च: l  in your face Gandhi, half knowledge is dangerous.",55,145,1453,False,
2020-02-10 16:00:15+00:00,RT @Akbar__2: #RoseDay is against #Constitution_Of_SupremeGod we have forgotten God and our culture so we are suffering from #Corona  and o…,Komal17168117,jaipur india,"एक पिता ने आपको अपने कलेजे का टुकड़ा अपनी बेटी ही दे दिया तो दहेज में मांगने के लिए बाकी क्या रह गया इसलिए कभी भी दहेज मत मांगिए।
Must watch sadhna tv 7:30 pm",527,854,3145,False,"#RoseDay is against #Constitution_Of_SupremeGod we have forgotten God and our culture so we are suffering from #Corona  and other incurable diseases
@ZeeNewsHindi @realDonaldTrump ?@leehsienloong https://t.co/Pyb61A8MEZ"
2020-02-10 16:00:17+00:00,RT @nalbinojr: People are surprised because in China people get arrested just because the government think they have #coronovavirus. Hey wa…,Tee001Tee,india,"Might know a thing or two...animals didn't join any religion or politics, they have right to life..humans! stop abusing animals...#AnimalRights",407,500,22375,False,"People are surprised because in China people get arrested just because the government think they have #coronovavirus. Hey wake up! China is a freaking dictatorship. That’s what happen inside dictatorships. Arrested for no reason, that’s the price of living in a totalitarian state"
2020-02-10 16:00:17+00:00,I want to write to curefit to send me good deal notifications after nCov subsides. Not risking it in gyms. As much as one can avoid.,NoSylviaPlath,india,"humbly, mom to 2 adults | witty preacher | experiential expressionist | highly intolerant of plagiarism | heads creative team | design, social & content",4426,1910,209352,False,
2020-02-10 16:00:18+00:00,"RT @sudarsansand: We stand with #China: My #SandArt with the message, Fight against #CORONAVIRUS at Puri beach, #Odisha. @China_Amb_India h…",dilipjain1979,bengaluru india,Entrepreneur ● Love Cooking ● Blessed To Be Followed By PM Narendra Modi & Sh Amit Shah ● #JaiHind 🇮🇳,13607,413,279175,False,"We stand with #China: My #SandArt with the message, Fight against #CORONAVIRUS at Puri beach, #Odisha. @China_Amb_India https://t.co/mhIOznlEkk"
2020-02-10 16:00:18+00:00,"RT @China_Amb_India: CCTV  reported PM Modi's condolence letter to President Xi Jinping, which recognizes the enormous effort taken by Chin…",Priyul3,pali india,Nationalist. indebted to bharat forever. Self Realisation and Moksha are the ultimate goals of Human life. Strive to achieve them.,147,647,29486,False,"CCTV  reported PM Modi's condolence letter to President Xi Jinping, which recognizes the enormous effort taken by Chinese Government &amp; is ready to provide possible assistance. We stand ready to work with India to follow leaders' spirit &amp; jointly fight the epidemic."
2020-02-10 16:00:19+00:00,"Coronavirus scare: Howrah woman sent to hospital for quarantine
 https://t.co/W3vQsnuN2N",ganeshmahnar,india,"Follow Government of India, WHO guidelines during lockdown. Stay at home, Stay Safe. 
#IndiaFightsCorona",5901,960,112282,False,
