created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-04 19:20:24+00:00,"RT @desimojito: Zee News : Kapil Gujjar, the guy who open flred in Shaheen Bagh is an AAP member. 
Republic : Kejriwal exposed, Shaheen Bag…",amit94325307,haryana india,jaat 💪👊   NATION FIRST🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 PROUD INDIAN🇮🇳,795,1661,24647,False,"Zee News : Kapil Gujjar, the guy who open flred in Shaheen Bagh is an AAP member. 
Republic : Kejriwal exposed, Shaheen Bagh sh00ter is an AAP member 

NDTV : China is sending corona virus via emails and whatsapp"
2020-02-04 19:20:27+00:00,@guardian China ban hijab and naqab now Chinese  are covering their full body. Stop torchering Muslims release them from detention camp and ask for forgiveness from Allah. Allah will remove this virus inshaallah,NafisaPatel18,india,I believe in humanity,178,204,13626,False,
2020-02-04 19:20:29+00:00,"RT @desimojito: Zee News : Kapil Gujjar, the guy who open flred in Shaheen Bagh is an AAP member. 
Republic : Kejriwal exposed, Shaheen Bag…",angadiashok1,karnataka india,Namo bhakth,13,163,1342,False,"Zee News : Kapil Gujjar, the guy who open flred in Shaheen Bagh is an AAP member. 
Republic : Kejriwal exposed, Shaheen Bagh sh00ter is an AAP member 

NDTV : China is sending corona virus via emails and whatsapp"
2020-02-04 19:20:32+00:00,"RT @thetaeprint: [INFO] Kim Taehyung Bar donated 50,000 surgical masks and 20,000 FFP2 masks to Wuhan medical centres. The total number of…",Tae_ddict,india,Girl with luv,64,806,26388,False,"[INFO] Kim Taehyung Bar donated 50,000 surgical masks and 20,000 FFP2 masks to Wuhan medical centres. The total number of masks donated equals to 65,000 RMB (approx $9300). They are also raising awareness for medical centres in need of medical supplies 
#Taehyung #뷔 @BTS_twt https://t.co/fqSzbFQWku"
2020-02-04 19:20:41+00:00,"Holy shit....
#coronaviruschina #coronavirus https://t.co/MsVnwbq51r",prawinbiswas,india,"I am not Jon, but Dany is my queen.",75,248,5888,False,
2020-02-04 19:21:04+00:00,"RT @ashoswai: Share of Population Living on $1.9 a Day!

Nigeria 53.5%
Ethiopia 27.3%
India 21.2%
Bangladesh 19.6%
Pakistan 3.9%
China 0.7%…",Meraj0107,hyderabad india,"Surviving with multiple health issues. 
Lumbar Disc Herniation, Cervical Spondylosis and Chronic Bronchitis.",104,520,27823,False,"Share of Population Living on $1.9 a Day!

Nigeria 53.5%
Ethiopia 27.3%
India 21.2%
Bangladesh 19.6%
Pakistan 3.9%
China 0.7%

(World Bank)"
2020-02-04 19:21:05+00:00,"RT @AnupamSadh: #coronavirus
#CoronavirusOutbreak
This is not the time for DOING RACISM against Chinese people or china..
this is not the t…",ojasv123,india,19 | Anime | K-Pop | Aspiring Writer | Avid Reader | Social Bee🐝,53,69,1981,False,"#coronavirus
#CoronavirusOutbreak
This is not the time for DOING RACISM against Chinese people or china..
this is not the time for EARNING MONEY via selling medical equipment with 10x values..
This is not the time to play DIRTY POLITICAL GAMES.. https://t.co/mGFfSykEnm https://t.co/BGTuBqTntz"
2020-02-04 19:21:09+00:00,RT @HiCecilia: Boggles my mind how people think the #coronavirus is not a real public health threat &amp; compare to flu. You think China would…,Nit_Lak,india,MUFC Forever. Post Graduate. Online Volunteer for UN. Digital Marketing Intern.,74,1161,2384,False,"Boggles my mind how people think the #coronavirus is not a real public health threat &amp; compare to flu. You think China would've put 40-60 MILLION people on LOCKDOWN, over a little flu? Or built a 1,000-bed hospital in DAYS (&amp; building more). Is common sense really not so common?"
2020-02-04 19:21:13+00:00,True mate https://t.co/UZRxHY4F8n,flybalafly,pune india,Lockdown stories featuring Bala.,175,194,1999,False,
2020-02-04 19:21:14+00:00,RT @iamadwoy: We must stop import of all electronics from china ASAP and stop using smartphones-computers-speakers and all electronic gadge…,AMITAVAKAR19,kolkata india,An uninteresting man. A nature lover. Deeply concerned about our mother Earth and environment. Finding all who work diligently to conserve nature.,82,255,16940,False,We must stop import of all electronics from china ASAP and stop using smartphones-computers-speakers and all electronic gadgets. We must return to our historical roots. Was there mobile-computers during ramayana?
