created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-04 00:00:03+00:00,"RT @MohanSThakur2: @satkabir_ #NoMeat_NoCoronaVirus
Animal birds live in dirt. Eat dirty things. They also have many diseases. By eating th…",kashulaldas,gogala jhadol udaipur india,,86,84.0,1113.0,False,"@satkabir_ #NoMeat_NoCoronaVirus
Animal birds live in dirt. Eat dirty things. They also have many diseases. By eating their flesh, those dirt and diseases come inside the human being. This is how the corona virus is spread in humans.
Watch Sadhna T.V -7:30pm and
Read book ""Gyan Ganga"" https://t.co/UCmX8erp8s"
2020-02-04 00:00:10+00:00,"RT @STcom: Coronavirus: Brazil to declare emergency, quarantine people returning from Wuhan https://t.co/gi0IziJmEi",Jaypandiyan1,tamil nadu india,#தமிழன்💪,37,155.0,11422.0,False,"Coronavirus: Brazil to declare emergency, quarantine people returning from Wuhan https://t.co/gi0IziJmEi"
2020-02-04 00:00:25+00:00,RT @STcom: Chinese abandon food delivery fearing drivers will spread coronavirus https://t.co/7OfWenKKru,Jaypandiyan1,tamil nadu india,#தமிழன்💪,37,155.0,11422.0,False,Chinese abandon food delivery fearing drivers will spread coronavirus https://t.co/7OfWenKKru
2020-02-04 00:00:38+00:00,"RT @SharecareInc: With over 17,000 confirmed cases of #coronavirus, it’s easy for false information to spread. We’re separating fact from f…",ShubhamYadav91,india,"pursuing MBBS👨‍⚕️✌️























 We were kids in love
And then we grew up
But won't you hold me close tonight
Like we're kids in love ❤️❤️-KYGO...",44,44.0,5987.0,False,"With over 17,000 confirmed cases of #coronavirus, it’s easy for false information to spread. We’re separating fact from fiction and providing the latest news about the virus. https://t.co/sQS0knY6FF"
2020-02-04 00:00:42+00:00,RT @obsequiousss: These things make me proud Hindu...thank you God...🙏🙏,_I__Dont_know__,new delhi india,Professional procrastinator,24,730.0,2412.0,False,These things make me proud Hindu...thank you God...🙏🙏 https://t.co/LMccrgSn61
2020-02-04 00:01:03+00:00,"RT @WHO: WHO has developed a dashboard for the #2019nCoV with the number of confirmed cases globally, which includes cases in #China🇨🇳 by p…",INDIANISATION,india,Life member Indian #Redcross. views are personal.,673,451.0,31926.0,False,"WHO has developed a dashboard for the #2019nCoV with the number of confirmed cases globally, which includes cases in #China🇨🇳 by provinces, regions and cities, as well as confirmed cases outside China by country

WHO Situation Report 3 February 2020 https://t.co/JWMbViqhxt https://t.co/Mn9vn1s3Gy"
2020-02-04 00:01:08+00:00,World Health Organization Tackles Misinformation Over China Coronavirus Outbreak https://t.co/Z9RZ05Ue6z https://t.co/xFsYk5VDNS,thessbprep,delhi india,Online SSB coaching,89,34.0,10109.0,False,
2020-02-04 00:01:19+00:00,"RT @airnewsalerts: UAE announces suspension of all flights to and from China, with exception of the country's capital, Beijing, which will…",agmailtwt,gujarat india,गर्व से कहो हम हिन्दू है,1434,1651.0,12415.0,False,"UAE announces suspension of all flights to and from China, with exception of the country's capital, Beijing, which will remain unaffected."
2020-02-04 00:01:49+00:00,"RT @SputnikInt: Pentagon designates four additional military bases as #coronavirus quarantine centers

@DeptofDefense https://t.co/kMwN3soG…",shivesh77_kumar,india,TRUE BHARTIYE 🇮🇳🇮🇳🇮🇳BJP MEMBER from Bangalore north,349,2176.0,81271.0,False,"Pentagon designates four additional military bases as #coronavirus quarantine centers

@DeptofDefense https://t.co/kMwN3soGde"
2020-02-04 00:01:53+00:00,"RT @ChauLanPhuong18: Good morning Tuesday alot happiness, luck and so healthy Sid. @sidharth_shukla Maybe you have been locked up in your h…",SidisWinner,india,,283,571.0,28846.0,False,"Good morning Tuesday alot happiness, luck and so healthy Sid. @sidharth_shukla Maybe you have been locked up in your house #biggboss for  months. I think at Mumbai not happen and unawares that the World is nCov. Take care of yourself Sidharth. I not hope you sick again. Love ❤️ https://t.co/CQEsKp8Su0"
