created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-05 13:00:03+00:00,"RT @WilliamYang120: Latest on #coronavirus - The total number of cases has risen to 23673, a more than 3000 increase from the day before. T…",MoncyKurian,india,"29, straightoutta90s, #AEROGEEK luchando por mantenerse informado, Mallu in #mumbai techgeek",165,2226,17342,False,"Latest on #coronavirus - The total number of cases has risen to 23673, a more than 3000 increase from the day before. The number of suspected cases is at 23214, and the total death toll is now at 490. 688 people have reportedly recovered from the infection. https://t.co/OyckLdhQz6"
2020-02-05 13:00:03+00:00,Kerala tackling coronavirus with experience drawn from fighting Nipah https://t.co/aDn4wIyVr3,TOIKochiNews,cochin india,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,1132,24,21979,True,
2020-02-05 13:00:06+00:00,"RT @tejimandi1: India continues to rally post the budget.With corona virus and slowdown in Asia, India might continue to outperform given t…",Khemchandjoya,jodhpur india,"MR INDIA , MR EASTERN INDIA, IIT(ISM) Dhanbad, Electronic and instrumentation engineer",328,347,26378,False,"India continues to rally post the budget.With corona virus and slowdown in Asia, India might continue to outperform given that it is now increasingly becoming a safe haven for emerging market funds.   Crude coming off to $54 definitely helps. 
#teji for Indian markets"
2020-02-05 13:00:07+00:00,"ETAuto | Coronavirus fear grips Auto Expo 2020, masks all over https://t.co/Gwoo19kS0J",ETAuto,new delhi india,"The Economic Times, The No.1 Business Daily In India, is your most trusted resource on #cars #bikes & #automobiles",27096,96,77107,False,
2020-02-05 13:00:07+00:00,"RT @fayedsouza: Dr Sanjeev Mehta of Lilavati: ""The Govt's advisory to prevent CoronaVirus using Ayurveda is not the truth. There is no cure…",Knowingly_UNKWN,india,,39,335,4832,False,"Dr Sanjeev Mehta of Lilavati: ""The Govt's advisory to prevent CoronaVirus using Ayurveda is not the truth. There is no cure or prevention know right now"" 

Watch full conversation here: https://t.co/WsbJyotYOv https://t.co/1F4ali1NLn"
2020-02-05 13:00:14+00:00,RT @ShashiTharoor: Moving. “Love In The Time of Coronavirus “.,Krishna51235573,kerala india,"Hai, I am an Engineer providing air conditioning to variety of buildings, interested in music, football and politics.., Wishes good for all... always",102,244,10317,False,Moving. “Love In The Time of Coronavirus “. https://t.co/YBfzUWKJNJ
2020-02-05 13:00:15+00:00,"RT @HUNTER__SINGH: Hirani 3I ka credit le gya 
Bauna fr ghar pe.

Zaira aur Fatima china le gyee sadme se ubharne ke liye.

Gave biggest di…",SRKianYash_,india,"Fan Of KingKhan @iamsrk 

𝐒𝐑𝐊 𝐈𝐬 𝐋𝐨𝐯𝐞 ❤️


Bhakts Not Allowed 🖕


💯% Follow back",872,780,23009,False,"Hirani 3I ka credit le gya 
Bauna fr ghar pe.

Zaira aur Fatima china le gyee sadme se ubharne ke liye.

Gave biggest distributors loss of the decade with TOH

Now doing remakes for roji roti 

Epic saga oF The Batla Warrior https://t.co/HH8CXOQecd"
2020-02-05 13:00:15+00:00,I love Corona...i mean beer.,shashankjaitely,gurgaon india,Modern marketer   l   Ancient soul   l   On a perpetual quest   l    Tweets are personal views.,1250,2382,15764,False,
2020-02-05 13:00:17+00:00,"LabCorp/Covance update on #Coronavirus 

#healthcare https://t.co/XghCN0dsQv",NiharG1,bangalore india,"Employer Branding, Talent Engagement & Candidate Experience, Employee Experience, Recruitment Marketing, Social Media",135,283,906,False,
2020-02-05 13:00:20+00:00,"CORONA Virus is now in India: How safe are we?
Read to know more.

#Coronavirus #Coronavirusinindia #Coronavirusoutbreak #Coronaviruses #Coronavirus2020
 https://t.co/YKtO7tHYZW",TribecaCare,kolkata india,"From 24x7 Emergency Support to Home Care, Senior Travel to Club Tribeca, we support seniors in every aspect of their lives. Begin a new life with us!",107,951,650,False,
2020-02-05 13:00:29+00:00,"RT @fakingnews: Coronavirus enters Arnab’s debate show, team of doctors called in to save Coronavirus https://t.co/RqwLiEbP1Q",SekarRathin,bangalore india,"Engineer, Optimist, Believes India is changing for the better, Believes world is changing for the better",27,42,4867,False,"Coronavirus enters Arnab’s debate show, team of doctors called in to save Coronavirus https://t.co/RqwLiEbP1Q"
2020-02-05 13:00:42+00:00,@DailyPakistan Are you going to pick your people from China ???,dilermikka,india,,249,2870,3290,False,
2020-02-05 13:00:53+00:00,RT @benedictrogers: China’s Global Human-Rights Whitewash by Aryeh Neier @ProSyn https://t.co/nNfrVzjghB,tkdb10,dharamshala india,trying to practice compassion in daily life,438,258,6317,False,China’s Global Human-Rights Whitewash by Aryeh Neier @ProSyn https://t.co/nNfrVzjghB
2020-02-05 13:01:01+00:00,"A newborn in #China's Wuhan has tested positive for the #coronavirus, Chinese media said on Wednesday, adding that the development has caused concerns that the ""infection could be contracted in the womb"" https://t.co/PTOKEjr1O5",thefirstindia,jaipur india,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia,3910,189,31747,False,
2020-02-05 13:01:14+00:00,"RT @TimesNow: Coronavirus LIVE UPDATES: Suspected case of coronavirus in Haryana; Trump says US coordinating with China.

https://t.co/XhoZ…",SharmisthaDatt9,kolkata india,I respect the interests of future generations,78,42,6166,False,"Coronavirus LIVE UPDATES: Suspected case of coronavirus in Haryana; Trump says US coordinating with China.

https://t.co/XhoZCEy2JD"
2020-02-05 13:01:18+00:00,RT @enricomolinari: Hong Kong government introduced electronic bracelets to track people placed under home quarantine in a bid to contain t…,sectest9,hyderabad india,News Hub! Get the latest Security News & Updates!,30339,1,1758038,False,"Hong Kong government introduced electronic bracelets to track people placed under home quarantine in a bid to contain the #coronavirus TY @QuickTake via @enricomolinari #ehealth #wearables #IoT

@Paula_Piccard @MikeQuindazzi @SpirosMargaris @ipfconline1 @sallyeaves @jblefevre60 https://t.co/8ohdoEAh9H"
